Package
askpass
assertthat
backports
base
base64enc
bit
bit64
blob
boot
brew
brio
broom
bslib
cachem
callr
cellranger
class
cli
clipr
cluster
codetools
colorspace
commonmark
compiler
cpp11
crayon
credentials
curl
data.table
datasets
DBI
dbplyr
desc
devtools
diffobj
digest
downlit
dplyr
dtplyr
ellipsis
evaluate
fansi
farver
fastmap
fontawesome
forcats
foreign
fs
gargle
generics
gert
ggplot2
gh
gitcreds
glue
googledrive
googlesheets4
graphics
grDevices
grid
gtable
haven
here
highr
hms
htmltools
htmlwidgets
httpuv
httr
ids
ini
isoband
jquerylib
jsonlite
KernSmooth
knitr
labeling
later
lattice
lifecycle
lubridate
magrittr
markdown
MASS
Matrix
memoise
methods
mgcv
mime
miniUI
modelr
munsell
nlme
nnet
openssl
parallel
pillar
pkgbuild
pkgconfig
pkgdown
pkgload
praise
prettyunits
processx
profvis
progress
promises
ps
purrr
R6
ragg
rappdirs
rcmdcheck
RColorBrewer
Rcpp
readr
readxl
rematch
rematch2
remotes
reprex
rlang
rmarkdown
roxygen2
rpart
rprojroot
rstudioapi
rversions
rvest
sass
scales
selectr
sessioninfo
shiny
sourcetools
spatial
splines
stats
stats4
stringi
stringr
survival
sys
systemfonts
tcltk
testthat
textshaping
tibble
tidyr
tidyselect
tidyverse
tinytex
tools
tzdb
urlchecker
usethis
utf8
utils
uuid
vctrs
viridisLite
vroom
waldo
whisker
withr
wtfdbg
xfun
xml2
xopen
xtable
yaml
zip
